Title,Release,Genre,Rating,Runtime,Revenue,Decade
Kal Ho Naa Ho,2003,Comedy,8.0,186,1.787378,2000
Mou gaan dou,2002,Action,8.0,101,0.169659,2000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action,8.0,143,305.413918,2000
Big Fish,2003,Adventure,8.0,125,66.257002,2000
The Incredibles,2004,Animation,8.0,115,261.441092,2000
Yeopgijeogin geunyeo,2001,Comedy,8.0,137,,2000
Dogville,2003,Crime,8.0,178,1.530386,2000
Vizontele,2001,Comedy,8.0,110,,2000
Donnie Darko,2001,Drama,8.0,113,1.480006,2000
Magnolia,1999,Drama,8.0,188,22.455976,1990
Dancer in the Dark,2000,Crime,8.0,140,4.184036,2000
The Straight Story,1999,Biography,8.0,112,6.203044,1990
Pâfekuto burû,1997,Animation,8.0,81,0.776665,1990
Festen,1998,Drama,8.0,105,1.64778,1990
Central do Brasil,1998,Drama,8.0,110,5.595428,1990
The Iron Giant,1999,Animation,8.0,86,23.159305,1990
Knockin' on Heaven's Door,1997,Action,8.0,87,0.003296,1990
Sling Blade,1996,Drama,8.0,135,24.475416,1990
Secrets & Lies,1996,Comedy,8.0,136,13.417292,1990
Twelve Monkeys,1995,Mystery,8.0,129,57.141459,1990
Kôkaku Kidôtai,1995,Animation,8.0,83,0.515905,1990
The Nightmare Before Christmas,1993,Animation,8.0,76,75.082668,1990
Groundhog Day,1993,Comedy,8.0,101,70.906973,1990
Bound by Honor,1993,Crime,8.0,180,4.496583,1990
Scent of a Woman,1992,Drama,8.0,156,63.895607,1990
Aladdin,1992,Animation,8.0,90,217.350219,1990
JFK,1991,Drama,8.0,189,70.405498,1990
Beauty and the Beast,1991,Animation,8.0,84,218.96762,1990
Dances with Wolves,1990,Adventure,8.0,181,184.208848,1990
Do the Right Thing,1989,Comedy,8.0,120,27.545445,1980
Rain Man,1988,Drama,8.0,133,178.8,1980
Akira,1988,Animation,8.0,124,0.553171,1980
The Princess Bride,1987,Adventure,8.0,98,30.857814,1980
Der Himmel über Berlin,1987,Drama,8.0,128,3.333969,1980
Au revoir les enfants,1987,Drama,8.0,104,4.542825,1980
Tenkû no shiro Rapyuta,1986,Animation,8.0,125,,1980
The Terminator,1984,Action,8.0,107,38.4,1980
Gandhi,1982,Biography,8.0,191,52.767889,1980
Kagemusha,1980,Drama,8.0,180,,1980
Being There,1979,Comedy,8.0,130,30.177511,1970
Annie Hall,1977,Comedy,8.0,93,39.2,1970
Jaws,1975,Adventure,8.0,124,260.0,1970
Dog Day Afternoon,1975,Biography,8.0,125,50.0,1970
Young Frankenstein,1974,Comedy,8.0,106,86.3,1970
Papillon,1973,Biography,8.0,151,53.267,1970
The Exorcist,1973,Horror,8.0,122,232.906145,1970
